from_url,to_url,title
https://www.data-blogger.com/,http://twitter.com/kmjjacobs/status/875467271870787584,['Data Blogger - An interesting blog with tutorials and articles on Data Science.']
https://www.data-blogger.com/,https://twitter.com/share?text=A%20Comparative%20Analysis%20Between%20Data%20mining%20and%20Statistics&via=kmjjacobs&url=https%3A%2F%2Fwww.data-blogger.com%2F2017%2F07%2F17%2Fa-comparative-analysis-between-data-mining-and-statistics%2F,['Data Blogger - An interesting blog with tutorials and articles on Data Science.']
https://www.data-blogger.com/,https://twitter.com/search?q=%23euler&src=hash,['Data Blogger - An interesting blog with tutorials and articles on Data Science.']
https://www.data-blogger.com/,https://www.data-blogger.com/2017/07/17/a-comparative-analysis-between-data-mining-and-statistics/#more-1278,['Data Blogger - An interesting blog with tutorials and articles on Data Science.']
https://www.data-blogger.com/,https://www.data-blogger.com/2017/11/01/pokerbot-create-your-poker-ai-bot-in-python/,['Data Blogger - An interesting blog with tutorials and articles on Data Science.']
https://www.data-blogger.com/,https://www.facebook.com/sharer.php?u=https%3A%2F%2Fwww.data-blogger.com%2F2017%2F11%2F03%2Fbook-month-pattern-recognition-machine-learning%2F,['Data Blogger - An interesting blog with tutorials and articles on Data Science.']
https://www.data-blogger.com/,https://www.data-blogger.com/2017/06/15/fraud-detection-a-simple-machine-learning-approach/,['Data Blogger - An interesting blog with tutorials and articles on Data Science.']
https://www.data-blogger.com/,https://twitter.com/share?text=Book%20of%20the%20month%3A%20Pattern%20Recognition%20and%20Machine%20Learning&via=kmjjacobs&url=https%3A%2F%2Fwww.data-blogger.com%2F2017%2F11%2F03%2Fbook-month-pattern-recognition-machine-learning%2F,['Data Blogger - An interesting blog with tutorials and articles on Data Science.']
https://www.data-blogger.com/,https://www.data-blogger.com/2017/04/07/building-a-tic-tac-toe-web-app-with-webpack-babel-react-redux/,['Data Blogger - An interesting blog with tutorials and articles on Data Science.']
https://www.data-blogger.com/,https://www.data-blogger.com/category/mathematics/,['Data Blogger - An interesting blog with tutorials and articles on Data Science.']
https://www.data-blogger.com/,https://www.data-blogger.com/category/my-life/,['Data Blogger - An interesting blog with tutorials and articles on Data Science.']
https://www.data-blogger.com/,https://www.data-blogger.com/category/book-review/,['Data Blogger - An interesting blog with tutorials and articles on Data Science.']
https://www.data-blogger.com/,http://twitter.com/kmjjacobs/status/840225416652689408,['Data Blogger - An interesting blog with tutorials and articles on Data Science.']
https://www.data-blogger.com/,https://twitter.com/share?text=Create%20a%20GRU%20%28RNN%29%20in%20TensorFlow&via=kmjjacobs&url=https%3A%2F%2Fwww.data-blogger.com%2F2017%2F08%2F27%2Fgru-implementation-tensorflow%2F,['Data Blogger - An interesting blog with tutorials and articles on Data Science.']
https://www.data-blogger.com/,https://twitter.com/search?q=%23neuralnetwork&src=hash,['Data Blogger - An interesting blog with tutorials and articles on Data Science.']
https://www.data-blogger.com/,https://www.facebook.com/sharer.php?u=https%3A%2F%2Fwww.data-blogger.com%2F2017%2F07%2F17%2Fa-comparative-analysis-between-data-mining-and-statistics%2F,['Data Blogger - An interesting blog with tutorials and articles on Data Science.']
https://www.data-blogger.com/,https://twitter.com/search?q=%23sklearn&src=hash,['Data Blogger - An interesting blog with tutorials and articles on Data Science.']
https://www.data-blogger.com/,https://twitter.com/search?q=%23react&src=hash,['Data Blogger - An interesting blog with tutorials and articles on Data Science.']
https://www.data-blogger.com/,https://www.data-blogger.com/contact/,['Data Blogger - An interesting blog with tutorials and articles on Data Science.']
https://www.data-blogger.com/,https://www.data-blogger.com/2017/08/03/what-is-the-blockchain-and-why-should-you-care/#respond,['Data Blogger - An interesting blog with tutorials and articles on Data Science.']
https://www.data-blogger.com/,https://www.data-blogger.com/category/services/,['Data Blogger - An interesting blog with tutorials and articles on Data Science.']
https://www.data-blogger.com/,https://www.data-blogger.com/2017/11/01/pokerbot-create-your-poker-ai-bot-in-python/#respond,['Data Blogger - An interesting blog with tutorials and articles on Data Science.']
https://www.data-blogger.com/,https://www.amazon.com/Pattern-Recognition-Learning-Information-Statistics/dp/0387310738?SubscriptionId=AKIAIICFJIJWXN55ZYDA&tag=ATVPDKIKX0DER&linkCode=alb&camp=2025&creative=165953&creativeASIN=0387310738,['Data Blogger - An interesting blog with tutorials and articles on Data Science.']
https://www.data-blogger.com/,https://twitter.com/search?q=%23extraction&src=hash,['Data Blogger - An interesting blog with tutorials and articles on Data Science.']
https://www.data-blogger.com/,https://twitter.com/search?q=%23pi&src=hash,['Data Blogger - An interesting blog with tutorials and articles on Data Science.']
https://www.data-blogger.com/,https://twitter.com/search?q=%23redux&src=hash,['Data Blogger - An interesting blog with tutorials and articles on Data Science.']
https://www.data-blogger.com/,https://www.facebook.com/sharer.php?u=https%3A%2F%2Fwww.data-blogger.com%2F2017%2F08%2F03%2Fwhat-is-the-blockchain-and-why-should-you-care%2F,['Data Blogger - An interesting blog with tutorials and articles on Data Science.']
https://www.data-blogger.com/,https://twitter.com/search?q=%23programming&src=hash,['Data Blogger - An interesting blog with tutorials and articles on Data Science.']
https://www.data-blogger.com/,https://twitter.com/search?q=%23webpack&src=hash,['Data Blogger - An interesting blog with tutorials and articles on Data Science.']
https://www.data-blogger.com/,https://twitter.com/search?q=%23tensorflow&src=hash,['Data Blogger - An interesting blog with tutorials and articles on Data Science.']
https://www.data-blogger.com/,https://twitter.com/search?q=%23srnn&src=hash,['Data Blogger - An interesting blog with tutorials and articles on Data Science.']
https://www.data-blogger.com/,https://twitter.com/search?q=%23machinelearning&src=hash,['Data Blogger - An interesting blog with tutorials and articles on Data Science.']
https://www.data-blogger.com/,https://twitter.com/search?q=%23pandas&src=hash,['Data Blogger - An interesting blog with tutorials and articles on Data Science.']
https://www.data-blogger.com/,https://twitter.com/search?q=%23basel&src=hash,['Data Blogger - An interesting blog with tutorials and articles on Data Science.']
https://www.data-blogger.com/,https://www.data-blogger.com/2017/08/03/what-is-the-blockchain-and-why-should-you-care/,['Data Blogger - An interesting blog with tutorials and articles on Data Science.']
https://www.data-blogger.com/,https://www.data-blogger.com/2017/03/15/pi-day-pi-and-the-basel-problem/,['Data Blogger - An interesting blog with tutorials and articles on Data Science.']
https://www.data-blogger.com/,https://www.facebook.com/sharer.php?u=https%3A%2F%2Fwww.data-blogger.com%2F2017%2F08%2F27%2Fgru-implementation-tensorflow%2F,['Data Blogger - An interesting blog with tutorials and articles on Data Science.']
https://www.data-blogger.com/,https://www.data-blogger.com/category/uncategorized/,['Data Blogger - An interesting blog with tutorials and articles on Data Science.']
https://www.data-blogger.com/,https://www.linkedin.com/shareArticle?mini=true&url=https%3A%2F%2Fwww.data-blogger.com%2F2017%2F08%2F03%2Fwhat-is-the-blockchain-and-why-should-you-care%2F&title=What+Is+The+Blockchain+And+Why+Should+You+Care%3F,['Data Blogger - An interesting blog with tutorials and articles on Data Science.']
